Big Brain Holdings,4,2,10,4,-,3,3,-,-,-,1,
a16z CSX,6,10,2,3,-,2,3,-,-,-,-,
Paradigm,3,6,8,2,-,5,1,-,-,1,-,
MH Ventures,6,6,4,5,-,-,2,-,-,-,-,
OKX Ventures,1,4,7,3,-,1,6,-,-,1,-,
echo,2,4,10,3,-,-,1,-,1,1,-,
HashKey Capital,6,3,7,1,-,1,3,-,-,1,-,
Robot Ventures,5,1,14,1,-,-,1,-,-,-,-,
Galaxy,3,4,3,4,1,6,-,-,-,-,-,
1kx,7,3,1,6,-,-,2,-,1,1,-,
Dragonfly,2,1,9,1,-,3,3,-,-,-,1,
Total,97,122,176,62,2,57,52,3,4,21,4,
,,,,,,,,,,,,
Heatmap of Investment Locations,,,,,,,,,,,,
Location,Amount Raised (USD),No.of rounds,,,,,,,,,,
Unknown location,$16.15B,689,,,,,,,,,,
United States,$10.52B,179,,,,,,,,,,
Malta,$2.00B,1,,,,,,,,,,
Singapore,$1.22B,21,,,,,,,,,,
Australia,$914.51M,9,,,,,,,,,,
United Kingdom,$891.28M,32,,,,,,,,,,
Japan,$832.20M,32,,,,,,,,,,
Canada,$612.24M,26,,,,,,,,,,
Hong Kong,$326.90M,16,,,,,,,,,,
Germany,$222.64M,9,,,,,,,,,,
Bermuda,$144.00M,3,,,,,,,,,,
France,$162.13M,9,,,,,,,,,,
Switzerland,$161.36M,14,,,,,,,,,,
china,$125.00M,4,,,,,,,,,,
Israel,$85.00M,7,,,,,,,,,,
Italy,$75.06M,6,,,,,,,,,,
India,$65.05M,8,,,,,,,,,,
Netherland,$65.77M,7,,,,,,,,,,
spain,$39.40M,2,,,,,,,,,,
Portugal,$24.50M,2,,,,,,,,,,
san marina,$24.50M,1,,,,,,,,,,
UAE,$46.24M,10,,,,,,,,,,
Barbados,$40.00M,1,,,,,,,,,,
south korea,$33.67M,8,,,,,,,,,,
Brazil,$25.30M,4,,,,,,,,,,
Malaysia,$25.00M,2,,,,,,,,,,
Argentina,$23.20M,3,,,,,,,,,,
norway,$15.13M,3,,,,,,,,,,
Sweden,$10.00M,1,,,,,,,,,,
Thailand,$10.00M,1,,,,,,,,,,
EI salvador,$8.00M,1,,,,,,,,,,
Cyprus,$7.00M,1,,,,,,,,,,
Belgium,$6.00M,1,,,,,,,,,,
Kenya,$4.90M,1,,,,,,,,,,
New zealand,$3.00M,1,,,,,,,,,,
South Africa,$2.45M,2,,,,,,,,,,
Turkey,$1.30M,2,,,,,,,,,,
British virgin Islands,$2.50M,3,,,,,,,,,,
Puerto rico,$1.60M,1,,,,,,,,,,
mexico,$1.10M,1,,,,,,,,,,
,,,,,,,,,,,,
Projects by Fund Jurisdiction (Structure),,,,,,,,,,,,
Jurisdiction,DeFi,Infra,CeFi,Chain,GameFi,Social,Meme,NFT,Stablecoin,Currency,Blockchain Service,Number of Projects
United States,173,96,88,47,46,20,4,4,2,1,216,697
Hong Kong,63,28,16,20,23,7,2,2,-,-,45,206
Singapore,41,31,15,18,20,7,3,2,1,-,49,187
United Kingdom,41,32,21,10,17,5,-,2,-,1,53,182
Switzerland,27,20,9,6,4,1,1,-,-,-,30,98
Canada,25,13,10,10,3,3,2,2,1,-,26,95
China,18,19,9,8,6,6,2,-,-,-,20,88
UAE,26,9,6,7,12,2,-,1,-,-,20,83
Germany,16,15,9,3,2,3,-,1,-,-,17,66
France,22,5,7,3,1,-,1,-,1,-,15,55
Netherlands,13,13,1,8,5,1,-,1,-,-,11,53
Seychelles,12,3,2,6,6,1,-,-,-,-,11,41
South Korea,10,5,5,1,7,1,-,-,-,-,7,36
Japan,11,4,5,5,10,2,-,-,-,-,9,46
,,,,,,,,,,,,
Funding Amount and Number of Rounds by Stage,,,,,,,,,,,,
Funding Stage,Raised in USD,Number of Rounds,,,,,,,,,,
Angel,$30.14M,21,,,,,,,,,,
Pre-Seed,$227.10M,114,,,,,,,,,,
Seed,$1.64B,282,,,,,,,,,,
Series A,$2.28B,127,,,,,,,,,,
Series B,$1.31B,34,,,,,,,,,,
Series C,$791.80B,9,,,,,,,,,,
Strategic,$4.07B,260,,,,,,,,,,
Undisclosed,$10.12B,342,,,,,,,,,,
